player_id,name,season,collected_at,strokes_gained_driving_sg_tee_to_green,strokes_gained_driving_sg_tee_to_green_rank,strokes_gained_driving_sg_tee_to_green_sg:ott,strokes_gained_driving_sg_off_the_tee,strokes_gained_driving_sg_off_the_tee_rank,strokes_gained_driving_sg_off_the_tee_total_sg:ott,strokes_gained_putting_sg_putting,strokes_gained_putting_sg_putting_rank,strokes_gained_putting_sg_putting_total_sg:putting
40098,Matt Fitzpatrick,2023,2025-03-22 05:28:28.392,0.396,52.0,0.211,0.211,55.0,13.286,0.525,11.0,33.066
30911,Tommy Fleetwood,2023,2025-03-22 05:30:20.897,1.205,8.0,0.388,0.388,33.0,24.036,0.493,14.0,30.574
32102,Rickie Fowler,2023,2025-03-22 05:32:13.949,1.136,11.0,0.126,0.126,77.0,10.206,0.29,48.0,23.514
29936,Ryan Fox,2023,2025-03-22 05:34:06.124,0.347,,0.113,0.113,,3.618,0.356,,11.404
29535,Brice Garnett,2023,2025-03-22 05:36:37.495,-0.15,126.0,-0.118,-0.118,127.0,-7.419,0.136,69.0,8.594
19846,Brian Gay,2023,2025-03-22 05:38:43.026,-2.128,,-1.041,-1.041,,-26.015,0.576,,14.39
59018,Ryan Gerard,2023,2025-03-22 05:40:36.874,0.233,80.0,-0.148,-0.148,136.0,-7.274,-0.443,177.0,-21.71
52375,Doug Ghim,2023,2025-03-22 05:42:40.223,0.515,44.0,0.247,0.247,50.0,18.257,-0.218,150.0,-16.141
25900,Lucas Glover,2023,2025-03-22 05:44:57.822,0.787,31.0,0.282,0.282,45.0,22.571,-0.344,169.0,-27.489
28679,Fabián Gómez,2023,2025-03-22 05:47:23.411,-0.526,,0.04,0.04,,0.443,-0.616,,-6.781
55165,Noah Goodwin,2023,2025-03-22 05:49:02.571,,,,,,,,,
56762,Will Gordon,2023,2025-03-22 05:51:40.482,0.096,100.0,0.358,0.358,36.0,31.83,-0.169,139.0,-15.047
59095,Chris Gotterup,2023,2025-03-22 05:53:25.741,-0.214,,-0.405,-0.405,,-5.271,0.512,,6.656
54591,Ben Griffin,2023,2025-03-22 05:57:28.254,0.351,56.0,-0.066,-0.066,117.0,-5.949,0.334,39.0,30.031
35310,Lanto Griffin,2023,2025-03-22 05:59:17.488,-0.336,156.0,0.149,0.149,71.0,6.71,0.041,89.0,1.855
31646,Emiliano Grillo,2023,2025-03-22 06:01:22.407,0.211,85.0,0.203,0.203,57.0,17.872,0.055,84.0,4.853
24924,Bill Haas,2023,2025-03-22 06:03:12.722,-1.021,,0.062,0.062,,1.186,-0.181,,-3.438
34563,Chesson Hadley,2023,2025-03-22 06:05:18.661,-0.212,134.0,-0.168,-0.168,139.0,-13.113,0.389,30.0,30.353
33399,Adam Hadwin,2023,2025-03-22 06:07:19.176,0.265,75.0,-0.011,-0.011,103.0,-0.903,0.445,21.0,36.022
32448,James Hahn,2023,2025-03-22 06:10:50.720,-0.124,120.0,0.315,0.315,42.0,21.728,-0.204,146.0,-14.068
57975,Harry Hall,2023,2025-03-22 06:12:38.419,-0.549,166.0,-0.404,-0.404,173.0,-29.894,0.698,4.0,51.66
47988,Nick Hardy,2023,2025-03-22 06:15:01.508,0.097,99.0,0.09,0.09,80.0,7.968,0.048,87.0,4.236
27644,Brian Harman,2023,2025-03-22 06:18:11.318,0.281,67.0,0.254,0.254,48.0,20.059,0.399,27.0,31.522
