tournament_id,course_id,course_name,course_code,par,yardage,host_course,collected_at,year,overview_name,overview_city,overview_state,overview_country,overview_par,overview_yardage,overview_record,overview_record_detail,overview_fairway,overview_rough,overview_green,overview_established,overview_design,summary_eagles,summary_birdies,summary_pars,summary_bogeys,summary_double_bogeys,summary_total_yards,summary_total_par,summary_rounds_complete,summary_round4_eagles,summary_round4_birdies,summary_round4_pars,summary_round4_bogeys,summary_round4_double_bogeys,summary_round4_hole_count,summary_round3_eagles,summary_round3_birdies,summary_round3_pars,summary_round3_bogeys,summary_round3_double_bogeys,summary_round3_hole_count,summary_round2_eagles,summary_round2_birdies,summary_round2_pars,summary_round2_bogeys,summary_round2_double_bogeys,summary_round2_hole_count,summary_round1_eagles,summary_round1_birdies,summary_round1_pars,summary_round1_bogeys,summary_round1_double_bogeys,summary_round1_hole_count,birdie_to_bogey_ratio
R2023003,510,TPC Scottsdale (Stadium Course),TS,71,0,True,2025-03-22 02:28:44.070,2023,TPC Scottsdale (Stadium Course),Scottsdale,Arizona,USA,71,,256,Phil Mickelson,Bermudagrass/Overseeded Ryegrass,Bermudagrass/Overseeded Ryegrass,Tifeagle Bermudagrass/Rye/PoaTrivia/Bent,1988,Tom Weiskopf \ Jay Morrish,9,254,753,151,21,7270,71,4,9,254,753,151,21,18,9,255,729,175,20,18,10,477,1504,371,35,18,10,352,1540,466,44,18,1.4767441860465116
R2023016,656,Plantation Course at Kapalua,PC,73,0,True,2025-03-22 02:14:24.919,2023,Plantation Course at Kapalua,"Kapalua, Maui",Hawaii,USA,73,,258,Cameron Smith,Common 419 Bermudagrass,Common 419 Bermudagrass,Tifeagle Bermudagrass,1991,Bill Coore / Ben Crenshaw,10,217,396,54,7,7542,73,4,10,217,396,54,7,18,7,205,412,56,4,18,5,200,402,76,9,18,9,229,408,52,4,18,3.557377049180328
