player_id,tour_code,collected_at,events,wins,international_wins,major_wins,cuts_made,runner_up,second,third,top10,top25,official_money,achievement_events_played,achievement_pga_tour_wins,achievement_international_wins,achievement_cuts_made,achievement_runner_up,achievement_third_place_finishes,achievement_top_5_finishes,achievement_top_10_finishes,achievement_year_joined_tour,achievement_official_money,table_national_teams,first_year,last_year,career_span,table_pga_tour_wins,table_international_wins,table_playoff_record,achievement_cuts_made_numerator,achievement_cuts_made_denominator,achievement_cuts_made_pct
49303,R,2025-03-22 03:19:27.872,45,,0,,,,,,1,4,556905,45,0,0,16/45,0,0,1,1,2019,556905,,2017,2025,9,,,,16,45,0.35555555555555557
52955,R,2025-03-22 03:28:16.091,42,2.0,1,,,4.0,4.0,,14,26,17934763,42,2,1,36/42,4,0,10,14,2023,17934763,,2022,2025,4,,,,36,42,0.8571428571428571
