player_id,tournament_id,last5_score,par5_birdie_pct,history_sg_short_game,first_year,last3_score,top_25_pct,recent_finish_std,international_wins,par4_avg,recent_avg_score,top_quartile_count,top10,history_best_sg_value,win_rate,wins,top_10_pct,history_sg_app,top_10,back_nine_par_pct,history_sg_atg,most_recent_position,front_nine_par_pct,last2_score,front_nine_birdie_pct,recent_top10,scoring_variability,top_25,score,eagles,birdies_per_round,approach_rank_best,recent_top5,top3
46442,R2025016,-4.0,75.0,,2014.0,-17.0,0.375,6.745368781616021,0.0,3.772727272727273,-12.2,3.0,1,,,,0.375,,3.0,58.333333333333336,,,55.55555555555556,-10.0,36.11111111111111,2.0,0.6711993796173743,3.0,18.0,0.0,6.75,47.0,1.0,0
46717,R2025016,10.0,62.5,,2019.0,-15.0,0.3333333333333333,11.169153951844338,2.0,3.8636363636363638,-5.2,1.0,0,,,,0.16666666666666666,,1.0,63.888888888888886,,,58.333333333333336,-2.0,30.555555555555557,1.0,0.7250006745450427,2.0,40.0,2.0,4.75,3.0,1.0,0
47420,R2025016,-9.0,56.25,,2015.0,6.0,0.4,26.09674309181128,0.0,4.159090909090909,,1.0,0,,,,0.1,,1.0,55.55555555555556,,,58.333333333333336,3.0,25.0,1.0,0.8876654334560621,4.0,37.0,2.0,4.5,33.0,1.0,0
47483,R2025016,7.0,62.5,,2015.0,-9.0,0.42857142857142855,13.4412301024373,0.0,3.840909090909091,-2.4,0.0,1,,,,0.0,,0.0,61.111111111111114,,,69.44444444444444,-5.0,30.555555555555557,0.0,0.730377097276025,3.0,43.0,0.0,5.5,45.0,0.0,1
47504,R2025016,-11.0,62.5,,2015.0,-11.0,0.375,4.6475800154489,0.0,3.7045454545454546,-10.8,1.0,0,,,,0.125,,1.0,50.0,,,58.333333333333336,-15.0,33.33333333333333,2.0,0.7119316226771797,3.0,38.0,0.0,7.0,59.0,2.0,0
47591,R2025016,-1.0,43.75,,2021.0,0.0,0.2727272727272727,4.4969125210773475,0.0,3.909090909090909,-8.4,1.0,0,,,,0.09090909090909091,,1.0,72.22222222222221,,,69.44444444444444,-13.0,22.22222222222222,1.0,0.6570610812365494,3.0,25.0,0.0,3.75,17.0,0.0,0
47993,R2025016,9.0,50.0,,2015.0,-11.0,0.625,8.78564169540279,0.0,3.8863636363636362,-4.2,2.0,0,,,,0.125,,1.0,66.66666666666666,,,66.66666666666666,-2.0,25.0,1.0,0.7792295862220701,5.0,18.0,0.0,4.75,37.0,0.0,0
47995,R2025016,-7.0,50.0,,2015.0,-9.0,0.2222222222222222,15.839472494022296,0.0,4.17948717948718,-2.4,0.0,0,,,,0.2222222222222222,,2.0,41.66666666666667,,,41.66666666666667,8.0,19.444444444444446,0.0,1.1094713963477725,2.0,35.0,0.0,4.0,25.0,0.0,0
48081,R2025016,-12.0,68.75,,2016.0,-8.0,0.25,14.579437574886077,1.0,3.9545454545454546,-11.8,2.0,0,,,,0.0,,0.0,66.66666666666666,,,52.77777777777778,-19.0,33.33333333333333,4.0,0.7750763504215475,1.0,21.0,1.0,5.5,36.0,3.0,0
48153,R2025016,-2.0,43.75,,2017.0,-11.0,0.0,14.305243793798134,1.0,3.9318181818181817,-6.6,0.0,0,,,,0.0,,0.0,63.888888888888886,,,69.44444444444444,0.0,22.22222222222222,1.0,0.7346499065085494,0.0,52.0,1.0,4.0,50.0,1.0,0
